Probe ID,Gene Symbol,Gene ID
1552256_a_at,SCARB1,949
1552257_a_at,,23170
1552258_at,,112597
1552261_at,WFDC2,10406
1552263_at,MAPK1,5594
1552264_a_at,MAPK1,5594
1552266_at,,203102
1552269_at,,128153
1552271_at,,163154
1552272_a_at,,163154
1552274_at,,54899
1552275_s_at,,54899
1552276_a_at,VPS18,57617
1552277_a_at,,91283
1552278_a_at,,113235
1552279_a_at,,113235
1552280_at,,91937
1552281_at,,283375
1552283_s_at,,79844
1552286_at,,90423
1552287_s_at,AFG3L1,172
1552288_at,,148113
1552289_a_at,,148113
1552291_at,,54965
1552293_at,,256130
1552295_a_at,,91252
1552296_at,VMD2L2,266675
1552299_at,,221264
1552301_a_at,,84940
1552302_at,,113277
1552303_a_at,,113277
1552304_at,,84920
1552306_at,,84920
1552307_a_at,,125488
1552309_a_at,nexilin,91624
1552310_at,,123207
1552311_a_at,,84839
1552312_a_at,MFAP3,4238
1552314_a_at,EYA3,2140
1552315_at,IMAP1,170575
1552316_a_at,IMAP1,170575
1552318_at,,170575
1552319_a_at,KLK8,11202
1552320_a_at,,85478
1552321_a_at,,85478
1552322_at,,159091
1552323_s_at,,159091
1552325_at,,220136
1552326_a_at,,220136
1552327_at,,158947
1552329_at,,283886
1552330_at,,92806
1552332_at,HRIHFB2122,11078
1552334_at,,11078
1552335_at,CATSPER1,117144
1552337_s_at,HOXD4,3233
1552338_at,,145258
1552340_at,SP7,121340
1552343_s_at,PDE7A,5150
1552344_s_at,CNOT7,29883
1552347_at,CRYZL1,9946
1552348_at,EOS,260429
1552349_a_at,EOS,260429
1552354_at,,255057
1552355_s_at,,255057
1552359_at,,157777
1552360_a_at,TIRAP,114609
1552362_a_at,LEAP-2,116842
1552364_s_at,,124540
1552365_at,SCIN,85477
1552367_a_at,,85477
1552368_at,CTCFL,140690
1552370_at,,132321
1552372_at,,132321
1552373_s_at,,132321
1552375_at,ZNF333,84449
1552377_s_at,,201158
1552378_s_at,RDH10,157506
1552379_at,,157506
1552381_at,SRrp35,135295
1552383_at,,149647
1552384_a_at,,149647
1552386_at,,202309
1552388_at,,150378
1552389_at,,203111
1552390_a_at,,203111
1552391_at,,164127
1552393_at,,150350
1552394_a_at,,150350
1552395_at,STK22C,81629
1552396_at,WFDC6,140870
1552398_a_at,CLL-1,160364
1552399_a_at,BRF1,2972
1552400_a_at,,123591
1552401_a_at,,54073
1552402_at,,163688
1552405_at,MATER,126206
1552408_at,OPPO1,146852
1552409_a_at,OPPO1,146852
1552410_at,,165530
1552411_at,DEFB106,245909
1552412_a_at,DEFB106,245909
1552414_at,WFDC9,259240
1552415_a_at,WFDC9,259240
1552417_a_at,NEDD1,121441
1552418_at,,254173
1552419_s_at,,254173
1552421_a_at,,125972
1552422_at,,220979
1552423_at,ETV3,2117
1552424_at,,147086
1552425_a_at,,147086
1552426_a_at,BLP2,80213
1552427_at,,220992
1552430_at,,116966
1552432_at,,162387
1552436_a_at,CDH23,64072
1552438_a_at,,150709
