

#ID = Rosetta generated unique probe identifier
#EntrezGeneID = Entrez Gene identifier for the gene represented
#ORF = Gene symbol for the gene represented
#GB_ACC = GenBank Accession
#PROBE_DERIVED_FROM_TRANSCRIPT = Actual transcript sequence from which the probe was derieved
#SPOT_ID = 
#RosettaGeneModelID = Rosetta internal gene identifier.
ID	EntrezGeneID	ORF	GB_ACC	PROBE_DERIVED_FROM_TRANSCRIPT	SPOT_ID	RosettaGeneModelID
10025930146			AA926913	non-public		HSG00215848
10025930335			AK021661	AK021661		HSG00264429
10025913794	439911		AL832060	AL832060		HSG00269218
10023807248	23443	SLC35A3	NM_012243	non-public		HSG00202393
10023809851	84056	KATNAL1	NM_001014380	non-public		HSG00284910
10023809233			AI559539	AI559539_RC		HSG00411589
10025911312	80059	LRRTM4	NM_024993	NM_024993		HSG00212388
10023815467	7148	TNXB	NM_007116	NM_007116		HSG00243994
10025916454	28663	TRAV20	BC025727	non-public		HSG00288142
10025918328			BC006563	BC006563		HSG00245643
10025925967			AA436683	non-public		HSG00206318
10025919918			BE936939	non-public		HSG00367661
10025908736	10333	TLR6	NM_006068	NM_006068		HSG00228258
10023817044	4642	MYO1D	AB018270	AB018270		HSG00297986
10025906227	80156		NM_025086	NM_025086		HSG00274093
10025909224	126074	C19orf39	NM_175871	NM_175871		HSG00306121
10025927868			XM_212527	XM_212527		HSG00363278
10023806935	10407	SPAG11	NM_016512	NM_016512		HSG00258893
10025905605	5939	RBMS2	NM_002898	NM_002898		HSG00277464
10023827678			AJ243936	AJ243936		HSG00360903
10025926618			AK024511	AK024511		HSG00275899
10023840209	534	ATP6V1G2	NM_130463	NM_130463		HSG00242873
10025928144			AA625707	non-public		HSG00428493
10023823223	6539	SLC6A12	NM_003044	NM_003044		HSG00277706
10025909982	80162	ATHL1	NM_025092	NM_025092		HSG00273281
10025910882	130951		NM_138804	NM_138804		HSG00213641
10023809882	8608	RDH16	NM_003708	NM_003708		HSG00282128
10023818945			AI243374	non-public		HSG00229448
10025907287	55219	TMEM57	NM_018202	NM_018202		HSG00208087
10023817769	6584	SLC22A5	NM_003060	NM_003060		HSG00237763
10025918617	387978		XM_370758	non-public		HSG00287306
10023819167	57414	RHBDD2	NM_020684	NM_020684		HSG00250927
10025922600			AK057104	AK057104		HSG00238743
10023816386	8237	USP11	NM_004651	NM_004651		HSG00253997
10025916384			AL832417	AL832417		HSG00273925
10023808754	27202	GPR77	NM_018485	NM_018485		HSG00306928
10025929407			AK022015	AK022015		HSG00285654
10023827532	10961	ERP29	NM_006817	NM_006817		HSG00278096
10025929623	4544	MTNR1B	NM_005959	non-public		HSG00273436
10023806831	51268	PIPOX	NM_016518	NM_016518		HSG00298192
10019874890	91351		XM_037817	non-public		HSG00228111
10026392085	9167	COX7A2L	NM_004718	NM_004718		HSG00213439
10023827077	79875	THSD4	NM_024817	non-public		HSG00290667
10023814492			AK096904	non-public		HSG00408372
10025932990			AI432417	non-public		HSG00409303
10023817744			AK095367	non-public		HSG00405570
10025919527	340414	C8orf50	XM_499109	non-public		HSG00256544
10023828593	63035	BCORL1	NM_021946	NM_021946		HSG00255026
10023813492			AI217418	non-public		HSG00274311
10023806370	2868	GRK4	NM_005307	NM_005307		HSG00229017
10025930063			AV732504	non-public		HSG00270535
10023849027	150271		AL110216	AL110216		HSG00314900
10023814117	2665	GDI2	NM_001494	NM_001494		HSG00268277
10025903875	55825	PECR	NM_018441	NM_018441		HSG00215689
10023813180	80063	ATF7IP2	NM_024997	non-public		HSG00294776
10025906048	11091	WDR5	NM_017588	NM_017588		HSG00318010
10025921694			AA744967	non-public		HSG00232340
10023815302			AI222379	non-public		HSG00351912
10031920875	400935		NM_001001694	NM_001001694		HSG00314452
10023833721	391124		XM_497719	non-public		HSG00210356
10023821304	162966	ZNF600	NM_198457	non-public		HSG00305893
10033668671	9123	SLC16A3	NM_004207	NM_004207		HSG00298677
10025926532				non-public	RosettaGeneID: HSG00385996	HSG00385996
10025923605	90784		AK001612	AK001612		HSG00215934
10025931262			BC036546	non-public		HSG00246692
10025906731	167681	PRSS35	NM_153362	NM_153362		HSG00244618
10023814844	9678	PHF14	NM_014660	NM_014660		HSG00359427
10023839723	84288	EFCAB2	NM_032328	NM_032328		HSG00207308
10025925811			AI770156	non-public		HSG00364586
10025911354	7278	TUBA2	NM_079836	NM_079836		HSG00284992
10025904342	10602	CDC42EP3	NM_006449	NM_006449		HSG00211886
10025912836	786	CACNG1	NM_000727	NM_000727		HSG00302611
