"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NIPBL",38.382698377929,129.456132210457,12.8226567660547,7.33594322276491e-19,1.56056817304634e-14,27.5651190325513
"DGCR9",-28.251237053762,112.47398920731,-12.7342879206976,9.96086151175295e-19,1.56056817304634e-14,27.3413721740465
"TCEB1",-68.4144012154299,179.460522873145,-12.2469361885027,5.4789165747994e-18,5.72254573182548e-14,26.0833105710887
"PTPRU",-101.49662779987,172.746363599199,-12.094546276205,9.39507097995087e-18,6.12258217151885e-14,25.681534872462
"LOC652175",-32.8596431219249,116.235012877642,-12.0835244065691,9.76987006369893e-18,6.12258217151885e-14,25.6523205680159
"MYST3",62.7318735818112,192.209811536732,11.9358867146193,1.65231353585275e-17,7.69540513184009e-14,25.2589781597473
"FLJ37078",-15.2718791422345,99.7061076816156,-11.9124561886572,1.79646314044882e-17,7.69540513184009e-14,25.1962084823561
"CHCHD3",38.390455870459,145.738585912269,11.8873947970899,1.96474248594883e-17,7.69540513184009e-14,25.1289651783017
"OSBPL2",38.5463167812451,154.118764564,11.7649394734292,3.04654268740251e-17,1.06067076185634e-13,24.7988462659717
"TRDMT1",30.7523012569926,133.324559502882,11.7153980029545,3.64005881634627e-17,1.14057602951394e-13,24.6645584751917
"TPI1",-106.622740586597,264.18324271289,-11.5585567438865,6.40770790731406e-17,1.74133710317214e-13,24.2366450040498
"NAPG",-52.2322247590483,199.552183066923,-11.547511232236,6.6688087183461e-17,1.74133710317214e-13,24.2063503882401
"NMRAL1",-29.6706732605424,138.53739626344,-11.477479630679,8.59359926702901e-17,1.90735764168999e-13,24.0137884114063
"FAM159B",-57.8634104491025,129.445466252402,-11.4709225722147,8.8003434755394e-17,1.90735764168999e-13,23.9957159034231
"MYCN",-27.0294321909191,108.628441192102,-11.4607588723867,9.13077316185287e-17,1.90735764168999e-13,23.9676882839496
"INTS9",20.0370759475186,108.521477045092,11.4386249705924,9.89435810479151e-17,1.93768635534711e-13,23.9065903509102
"KATNA1",18.4051214868235,99.195214831773,11.4218716837664,1.05149162124159e-16,1.93808461529318e-13,23.8602893371655
"LOC729269",-19.8075062905799,105.282420996689,-11.3821272872122,1.21489276862079e-16,1.99008551964366e-13,23.7502563189627
"LOC100129296",-63.7961874592798,143.178598585503,-11.3723165680796,1.25902951369445e-16,1.99008551964366e-13,23.723053737009
"LOC731823",-21.0634732144863,103.422615592167,-11.3582620327485,1.32509390395891e-16,1.99008551964366e-13,23.6840555774347
"ZFYVE26",20.3113386297769,121.042046523037,11.3564726594978,1.33375234290281e-16,1.99008551964366e-13,23.6790880563604
"POTE2",-43.4878392419851,123.236770777973,-11.3264695160938,1.48774172732679e-16,2.11894996745717e-13,23.5957144212004
"LOC649133",-66.7272450911011,144.901684313806,-11.2475062742982,1.98444854426395e-16,2.61078394918972e-13,23.3755573615755
"MIR638",-40.3176825672306,121.358930542496,-11.2454095994883,1.99970686093551e-16,2.61078394918972e-13,23.3696971982382
"PEPD",23.7555015894947,129.47103961408,11.2271654548366,2.13757515575354e-16,2.67915119721526e-13,23.3186737061202
