"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KLKB1",9.7508141331454,89.213648418636,7.56324535457388,2.24448492493989e-10,7.03286906380666e-06,12.1140255219316
"GLIPR1L1",18.3650295457009,108.252968768555,6.95271872120468,2.5743029859998e-09,2.29210987220202e-05,10.0864204903746
"IMPG2",9.99503496693049,99.0376835688556,6.84619257853697,3.93469942176512e-09,2.29210987220202e-05,9.73181049590303
"ITGB5",32.8489463840399,132.519067410838,6.83745102073868,4.07398026781937e-09,2.29210987220202e-05,9.70271017127552
"KIAA1086",-21.3075935162095,130.38333927087,-6.82095797406308,4.35027916226305e-09,2.29210987220202e-05,9.64780583054189
"C22orf13",15.3842299143446,107.31288049717,6.81872735430005,4.3890531796809e-09,2.29210987220202e-05,9.64038029177977
"ADH6",21.9831959503415,107.813325812453,6.70873833213689,6.79546026728436e-09,2.81227330740907e-05,9.27427716411459
"TEAD1",14.2126246882793,103.662292680996,6.69486957522578,7.18011950573581e-09,2.81227330740907e-05,9.22812336151694
"ANTXR1",70.4091965737829,205.710242251514,6.62582841670631,9.44238213505918e-09,3.28741779799938e-05,8.99840823204418
"PRKD3",17.7118193646319,128.365874995052,6.58791714578372,1.09731094571738e-08,3.43831411731084e-05,8.87230990294965
"LSM14A",16.4945824297951,143.991725052448,6.46821764642816,1.76195117561893e-08,5.01899801244031e-05,8.47443049729899
"C15orf41",5.23960153962919,86.0790622649725,6.37413693433602,2.55408469265603e-08,5.6434902957646e-05,8.16206614048664
"SPINK9",11.2484423452239,97.7965087281795,6.36791295239046,2.61751274893035e-08,5.6434902957646e-05,8.14141487141909
"GNG3",-134.245343841483,346.631168111467,-6.35631254404208,2.73993606981939e-08,5.6434902957646e-05,8.10292938144296
"MUC1",27.8856445841917,108.950449273641,6.35356270206153,2.76978018861403e-08,5.6434902957646e-05,8.09380745033963
"PRTN3",12.2270408218584,95.2101808969639,6.30235180532267,3.38845216536289e-08,5.6434902957646e-05,7.92399665839222
"HEATR5A",11.5154940095414,108.433857815778,6.30054780737698,3.41258465788945e-08,5.6434902957646e-05,7.91801723840762
"CNTLN",6.79924211211103,91.837487630131,6.25936824385317,4.01231135404219e-08,5.6434902957646e-05,7.78157478486249
"PELI2",28.6494338881058,138.066247080711,6.25928557452726,4.01361485295435e-08,5.6434902957646e-05,7.78130096876628
"OR2T11",12.2117494307709,96.9472410244231,6.251957476347,4.13084732099618e-08,5.6434902957646e-05,7.75703053736223
"TPO",11.8724032310528,96.6141966512291,6.24962073230803,4.168939682903e-08,5.6434902957646e-05,7.74929197745857
"SMPD2",14.4261640735119,100.133002810434,6.24631260760774,4.22346384531088e-08,5.6434902957646e-05,7.73833706351391
