"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPS27P4",1.98427614555581,7.39394552748908,14.9546897000881,1.40088261490082e-41,3.95749338709481e-38,83.5386701907204
"IL27",1.27519109115687,4.74961384740555,12.6091714685505,1.44018075061686e-31,2.03425531024631e-28,60.6084316593018
"CRTAC1",0.102744259090746,0.489227123047317,10.0677919063449,1.05338142431309e-21,9.91934174561491e-19,38.0674005189073
"RPS2",-2.96027858110964,23.5938272490274,-9.3972855055912,2.52187372658254e-19,1.78107331939892e-16,32.6441775081963
"OLFM1",5.12653700532237,37.9330185767637,9.3685151377638,3.17262559943248e-19,1.79253346367935e-16,32.4170878753919
"C20orf144",0.467173593131122,2.3583192888314,8.92385921122589,1.03779018390209e-17,4.88626211587232e-15,28.9687713813001
"MT3",-2.67960433346764,22.5845972496598,-8.78981418441445,2.9031657156512e-17,1.06261409927221e-14,27.9524174781096
"NEURL",1.10583509821821,8.21649253403796,8.78511564954892,3.00917267050536e-17,1.06261409927221e-14,27.9169913140403
"BCL6",-0.529152122938014,6.98187887202795,-8.71564696230685,5.10571853911586e-17,1.60262831922248e-14,27.3947938803369
"UBLCP1",0.190365220520027,3.30735787603354,8.40276924108083,5.32515233149927e-16,1.50435553364854e-13,25.0802042582671
"PSORS1C2",0.023700001090805,0.091276533310127,8.19544207656087,2.43498031918132e-15,6.25347218335202e-13,23.5808112077668
"FBLN2",0.0605572787649211,0.558516646445152,7.80296115932414,4.01209880927623e-14,9.44514928017111e-12,20.8197930986236
"TPT1",-2.19727696064769,20.2350783571091,-7.7407733298833,6.19658090014706e-14,1.34656469560888e-11,20.3918216883067
"EMP3",0.0631847041765334,0.703965504057536,7.72767941247036,6.78825331341346e-14,1.3697725435995e-11,20.3020469989808
"ZDHHC1",0.181014262548009,1.65371462346566,7.60884077985618,1.5450177568276e-13,2.90978344202532e-11,19.4926507299584
"C1orf119",0.311578804587592,4.93448642153743,7.5770290352721,1.92240117063539e-13,3.39423956690310e-11,19.2776398171291
"BAX",2.82354140357898,8.97918755153233,7.31242919913301,1.15254305213451e-12,1.91525536604706e-10,17.516695694672
"PCDHGC3",2.15643984596162,10.3385486278989,7.28491480037354,1.38463527792838e-12,2.17310814452649e-10,17.336425330264
"GTF2H5",-0.135299365699331,1.83833435234573,-7.02764681366629,7.50258252945515e-12,1.11551556030057e-09,15.677182212426
"GARNL1",0.111411667985578,1.76148597739197,6.85660893181233,2.2481441959078e-11,3.05522946674127e-09,14.6007757628994
