"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LPIN1",0.231781268749996,9.63786111174242,5.65067613024971,2.20067879549639e-06,0.0440091745523369,4.2799710012852
"SNORD115-25",0.420556296527772,10.9097675814394,5.27107799050467,6.98427021986348e-06,0.0698357179284149,3.33803588103334
"SYT5",-0.307993152777779,9.97691634848485,-5.05194316465165,1.35787628275122e-05,0.0905160330081965,2.79266303109131
"SNORD115-24",0.379716175694442,8.80563984848485,4.65278954114044,4.52231509602312e-05,0.157146734126965,1.80103606343566
"CCKBR",-0.292591848611115,8.85282512878788,-4.52601378045351,6.60614156519579e-05,0.157146734126965,1.48766243478717
"LINC00643",-0.484090927083334,8.26327872159091,-4.43860000559283,8.56920062160369e-05,0.157146734126965,1.27230799842679
"FAHD2B",0.202028794444439,9.36326970075758,4.42119270174394,9.0237898904593e-05,0.157146734126965,1.22950420127067
"RAB33A",-0.289551750694445,8.95866700189394,-4.37080414613895,0.000104777312143431,0.157146734126965,1.10576705898909
"MGST3",-0.269341769444448,11.3848667840909,-4.36823595351679,0.000105577102281297,0.157146734126965,1.09946732291765
"GPR26",-0.336324720833333,7.70003825189394,-4.36222821164299,0.000107471564430797,0.157146734126965,1.08473311202811
"RERG",-0.432891311805557,8.29705722537879,-4.31626231169636,0.000123115440027194,0.157146734126965,0.972128117018473
"AGAP9",0.288789010416663,10.2881969507576,4.30144081381403,0.000128621405556054,0.157146734126965,0.935869108046038
"NUS1",-0.190666415972226,10.3043683882576,-4.29881638882874,0.000129621233163081,0.157146734126965,0.929451388297065
"TMED6",-0.204336084027779,5.8011311875,-4.29350032065869,0.000131669942917256,0.157146734126965,0.916454016865452
"VAMP2",-0.239249388888892,12.1297925,-4.22014382294329,0.000163404599893077,0.157146734126965,0.737450228117108
"KCNK1",-0.304619090277781,8.35073749242424,-4.2171296582733,0.000164857734076589,0.157146734126965,0.730109473520966
"GTF2H5",-0.233774879166667,8.50704908712121,-4.19087808350976,0.000178061136143103,0.157146734126965,0.666226137917908
"AGAP6",0.260970093749997,9.47695509280303,4.19049953547362,0.000178258914210624,0.157146734126965,0.665305607479398
"UBXN4",0.149493408333328,9.61909575757576,4.18858933809983,0.000179260213908741,0.157146734126965,0.660660797285517
"EEIG2",-0.436479744444449,9.05886685227273,-4.17317116958807,0.000187546528604712,0.157146734126965,0.623188251426024
"NBPF9",0.243661124999996,11.8371790151515,4.14260835557736,0.000205096126813767,0.157146734126965,0.549004924843563
"CRHBP",-0.641527261111112,8.12669689393939,-4.12344263376722,0.000216911179486152,0.157146734126965,0.502552699651138
"MMD",-0.309314762500003,9.53156073484848,-4.11368621982702,0.000223178969298638,0.157146734126965,0.47892645805562
"LINC00680",0.228054049999995,9.95788789015151,4.1094510131194,0.000225954620598653,0.157146734126965,0.468674800418714
"CHRNB2",-0.222665545833335,9.81577020075758,-4.10675025086968,0.000227742238430089,0.157146734126965,0.462138778387328
"RBM5",0.228231752777775,10.4198536363636,4.10259859716308,0.000230517202557905,0.157146734126965,0.452093623690013
"NPIPA3",0.326090486111109,11.5255512121212,4.10149473234496,0.000231260574055505,0.157146734126965,0.449423195685029
"GON7",-0.248057489583335,7.77757496022727,-4.09477117767684,0.000235839286165251,0.157146734126965,0.433161779828984
"ORAI2",-0.321134250000002,8.84778284469697,-4.09307035428518,0.000237011518233101,0.157146734126965,0.429049292650581
"SLC7A14",-0.243552533333338,9.5241616780303,-4.09245501577631,0.000237437020473385,0.157146734126965,0.427561549536495
"MIR105-1",-0.23942882777778,6.83434584659091,-4.08365883176531,0.000243601798076603,0.157146734126965,0.406300747535068
"UBE2Q2P1",0.185131031944445,9.21925408712121,4.05237684367821,0.000266819600160474,0.166745573875286,0.330787507041127
"SLC25A4",-0.292641502083335,10.2172995625,-4.01957960808988,0.000293481948478319,0.172311631566185,0.251783517832199
"LGI2",-0.408307140277782,7.78158547727273,-4.00774512998399,0.000303727558706398,0.172311631566185,0.223319099068693
"NUMA1",0.192859446527777,9.29824847159091,4.00441520240785,0.000306672810374258,0.172311631566185,0.21531412449719
"CISD2",-0.163387186111114,9.58265245833333,-3.99143544297326,0.000318421503689822,0.172311631566185,0.184129261290833
"CYP4F29P",0.402386713888885,7.57119874621212,3.97852820019693,0.000330539578673052,0.172311631566185,0.153147039932154
"TPI1",-0.202070600000003,9.29032962310606,-3.96464344432312,0.00034407756635728,0.172311631566185,0.119850518007844
"PTDSS1",-0.241813834722226,9.84761361363636,-3.95358382962201,0.000355246390129179,0.172311631566185,0.0933529936796171
"NBPF8",0.245193468055552,10.8087356666667,3.93485353877987,0.000374972676004385,0.172311631566185,0.0485270121715278
"PHYHD1",0.387539933333331,9.48275739015152,3.92784206407674,0.000382628211263636,0.172311631566185,0.0317631529519122
"SPRED1",-0.281356902777778,9.56617719318182,-3.92760743996074,0.000382887002693592,0.172311631566185,0.0312023404134516
"PAGR1",0.216173821527777,8.65901403977273,3.90942771255964,0.000403466259903527,0.172311631566185,-0.0122212491164113
"P2RX7",0.254141846527773,9.44556681628788,3.90092935668225,0.000413451952421393,0.172311631566185,-0.0324992137704356
