"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERPINF1",-0.953522121874999,8.44113352777778,-7.5072097445688,3.26748727255041e-07,0.0065343210476463,6.42235333657882
"IL1RL2",-0.604637159375001,6.57310661111111,-6.65658460212361,1.85271134606982e-06,0.0185252607493522,4.94556993945228
"HOPX",-0.826560887500002,8.24291324305556,-6.01934505758788,7.23688829809371e-06,0.0397183244830953,3.7610983104526
"SEM1",0.575314459374995,10.0457322777778,5.9765761629603,7.94445934255332e-06,0.0397183244830953,3.67931201793195
"FNDC5",-0.695253868750001,8.25742005555555,-5.67785311338875,1.5334464993295e-05,0.0397816088327779,3.10048336173867
"CHRNB2",-0.627072112499997,9.72657342708333,-5.67729481410173,1.53534726546105e-05,0.0397816088327779,3.09938946755305
"NPTXR",-0.655758656250001,10.4571584583333,-5.44241644542654,2.59337416939955e-05,0.0397816088327779,2.63538316595725
"H3-3B",0.632408898437497,10.3582226840278,5.38153308709634,2.97367548302505e-05,0.0397816088327779,2.51391095246993
"EHD3",-0.717386803125002,9.81589092708333,-5.3594220500027,3.12548152810871e-05,0.0397816088327779,2.4696788589346
"SRSF11",0.481414859374995,11.6137312847222,5.32635860106163,3.36737096553587e-05,0.0397816088327779,2.4034226276252
"RAB15",-0.943319484374999,9.77590920833333,-5.32282494766931,3.39432741504939e-05,0.0397816088327779,2.39633346318081
"LIPH",-0.572954609374999,6.60704719444444,-5.31154308240598,3.4818725777227e-05,0.0397816088327779,2.37368963872758
"SATB1",-0.770959384375004,10.0381142222222,-5.30556848435998,3.5291630980887e-05,0.0397816088327779,2.36169168855886
"KCNK10",-0.474947442187501,7.53438157291667,-5.26015645509215,3.91069065196468e-05,0.0397816088327779,2.27035502649248
"GFRA2",-0.902716384374999,9.29887011805556,-5.2449893453085,4.04727317799922e-05,0.0397816088327779,2.23979428855856
"ORAI2",-0.521099932812501,9.23051617361111,-5.20922221413483,4.38893005822657e-05,0.0397816088327779,2.16761795996502
"PID1",-0.561767396875001,8.02111182638889,-5.18518253480879,4.63493674613164e-05,0.0397816088327779,2.11902303673993
"TIGAR",-0.701916806250001,7.017342625,-5.17682212956153,4.72374409510806e-05,0.0397816088327779,2.10210729176221
"TPI1",-0.467510596875,9.773352625,-5.17668355776123,4.72523055861769e-05,0.0397816088327779,2.10182684960759
"NBPF9",0.386895718749996,12.2840965277778,5.17440174549755,4.74977620184917e-05,0.0397816088327779,2.09720859279959
"SMYD2",-0.751742812499999,8.39408761458333,-5.13473898090218,5.1977850190739e-05,0.0397816088327779,2.01683896701489
"LRFN3",-0.445759718750002,7.96406016319444,-5.12874732373406,5.26910840869084e-05,0.0397816088327779,2.00468253808536
"RIMBP2",-0.566285643750003,9.84124910416667,-5.11626651289671,5.42089112930412e-05,0.0397816088327779,1.97934749429425
"ACOT8",-0.410506615625,8.88857352777778,-5.09895498825577,5.6388151482395e-05,0.0397816088327779,1.94417802353597
"HNRNPA1P10",0.383105406249996,11.5283335069444,5.09717928888528,5.66166630058325e-05,0.0397816088327779,1.94056871820343
"SYNM",0.533410231250002,9.10549426388889,5.09150489380923,5.73532228134183e-05,0.0397816088327779,1.9290325769226
"LRPAP1",-0.370529571875002,10.7948977152778,-5.05093392952806,6.29113572101183e-05,0.0397816088327779,1.84644984300538
"CAPS",0.674947221875,8.92607911805556,5.03311454413881,6.55227521832245e-05,0.0397816088327779,1.81012287812361
"TTPAL",-0.815987531250001,7.6127551875,-5.02456630772974,6.68143107118896e-05,0.0397816088327779,1.79268445546092
"LINGO1",-0.815830618749999,8.55662532638889,-5.01939117892096,6.76087642855502e-05,0.0397816088327779,1.78212348584696
"MET",-1.545168365625,7.94806072916667,-5.01838615597138,6.77641585430377e-05,0.0397816088327779,1.78007219717174
"PLD3",-0.444034843750003,11.8748449305556,-5.01562210323881,6.81934036025191e-05,0.0397816088327779,1.774430125343
"MSC",-0.634012518750001,7.32480589583333,-5.00928296868218,6.91883045735978e-05,0.0397816088327779,1.76148750568959
"EFNA3",-0.681323376562501,8.92749982291667,-5.00778936326724,6.94248583347547e-05,0.0397816088327779,1.75843740733007
"QPCT",-0.706720625000003,7.65703581944444,-4.99493373498347,7.14951738546901e-05,0.0397816088327779,1.7321754239314
"ENSA",-0.625638385937501,10.3889790451389,-4.99420704916913,7.16140573047307e-05,0.0397816088327779,1.73069041796257
"ATP5PF",-0.324846334375001,7.64964263888889,-4.97908080587228,7.41347628953462e-05,0.0400688375238144,1.69976730277522
"NEFH",-0.8411161875,7.86973002083333,-4.96113949366841,7.72417063095559e-05,0.0401906900994478,1.66305944391553
"CRTAP",0.532892732812499,10.3166523333333,4.95475088129223,7.83796836622895e-05,0.0401906900994478,1.64998063835771
"TMEM229B",-1.0952872078125,7.28028682291667,-4.94081787698958,8.09209063831891e-05,0.0404564071462754,1.62144297174052
"NEUROD6",-1.322856928125,8.3284695,-4.92516255840451,8.38762043179254e-05,0.0404817830404564,1.58935506916272
"DNAJC28",-0.623928259375001,7.30200163888889,-4.91925192726221,8.50202464095993e-05,0.0404817830404564,1.57723419811969
"CPT1C",-0.474577393750002,9.67787245138889,-4.89381293177548,9.0127677712795e-05,0.0404996021509905,1.52502871058857
"ATP6V1G2",-0.673641640625,11.3712242152778,-4.88478329092188,9.20145051281918e-05,0.0404996021509905,1.50648357120507
"CHP1",-0.37575134375,11.6202927777778,-4.86382321837299,9.6550228770043e-05,0.0404996021509905,1.46340650047994
"ITPRID2",0.588597065625001,10.3863857083333,4.85071338390441,9.95017680968336e-05,0.0404996021509905,1.43644278369533
"GABRA1",-1.2278470625,10.9043795694444,-4.84036729692661,0.000101895537256828,0.0404996021509905,1.41515247019544
"RIT2",-0.9331862109375,7.61194238541667,-4.84033632209979,0.000101902790841667,0.0404996021509905,1.41508871539683
"MRPS36",-0.723240625000001,7.08942625347222,-4.83639612240293,0.000102829774638995,0.0404996021509905,1.40697799231617
"MAN1A1",-0.71473848125,9.05928371527778,-4.83334574729959,0.000103553281156783,0.0404996021509905,1.40069798457021
"GALNT17",-0.851131081250001,9.25294556944444,-4.82884574990859,0.000104630048410277,0.0404996021509905,1.39143203859165
"ARRDC4",1.05644149375,9.47823196527778,4.82603030353596,0.00010530949654223,0.0404996021509905,1.38563384255319
"PSMD8",-0.351594764062497,10.7875075729167,-4.81198976050424,0.000108765224450614,0.0410393765766677,1.35670804156929
"ENC1",-0.840787375000003,11.2997277222222,-4.80186911942021,0.000111327230190526,0.0412281842472249,1.3358472483937
"UBE2T",-0.646229273437502,7.87812442708333,-4.79258411125199,0.000113731448697436,0.0412356846236387,1.31670112966072
"NRN1",-0.687564421875003,11.7254893125,-4.77998212346741,0.000117078918385444,0.0412356846236387,1.29070352266595
"BEND5",-0.432583764062501,7.74873739930556,-4.76976192397165,0.000119866872966618,0.0412356846236387,1.26960968814523
"MIR23A",0.514334989062498,7.57818037847222,4.76750252856433,0.000120492229295359,0.0412356846236387,1.26494526708682
"ERCC2",-0.415418571874998,8.54635623611111,-4.75559097138895,0.000123844146577604,0.0412356846236387,1.24034742105583
"PIN1",-0.397398940625001,10.2185919236111,-4.75076519613656,0.000125228849148501,0.0412356846236387,1.23037868983817
"NAPA",-0.493695565625003,9.97748442361111,-4.74885452608118,0.000125781416243722,0.0412356846236387,1.22643124439953
"GHR",-0.548370271875,7.22368535416667,-4.73972651260504,0.000128455497949966,0.0414331136774745,1.20756868633637
"DUSP6",-0.644977156249999,8.09579757986111,-4.73028131275221,0.000131283101793629,0.0416730074550635,1.18804363660887
"NBPF1",0.467417781250001,12.1643704861111,4.71748814345916,0.000135213707494531,0.0420024829751373,1.16158640497692
"GALNT15",1.10137749375,9.04183920833333,4.71115673898553,0.000137202820392092,0.0420024829751373,1.14848783828753
"JAZF1",-0.365251271875001,9.55552301388889,-4.69266044703395,0.000143184947838688,0.0420024829751373,1.11020451408221
"POP4",-0.45114189375,8.37765366666667,-4.69144074743043,0.000143588577172021,0.0420024829751373,1.10767908082333
"NBPF8",0.474045821874999,10.8513502256944,4.68702573337631,0.000145059262436834,0.0420024829751373,1.09853668950737
