"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ORAI2",-0.514902717763157,9.12981056896552,-5.81542547297916,2.07488869723143e-06,0.0269257933894886,4.77949275523397
"VLDLR",-0.385866673026316,8.37251742456897,-5.69336638386878,2.94098955486905e-06,0.0269257933894886,4.47030809684153
"GMPR",0.983376036184215,9.0291307112069,5.54449245872495,4.50393139430583e-06,0.0269257933894886,4.09194182339435
"ITGB4",0.86561147697369,9.24224092672414,5.43441859397531,6.1746647915367e-06,0.0269257933894886,3.81145487875734
"AGT",0.588978012499995,10.6790333663793,5.26374116320116,1.00746288822444e-05,0.0269257933894886,3.3756307613197
"TMEM123",0.512700107236842,10.1804236206897,5.25193735998557,1.04216429063867e-05,0.0269257933894886,3.34545938659889
"RHBDD1",0.289796045394741,10.015235262931,5.16943218242234,1.3204797841402e-05,0.0269257933894886,3.13449626825667
"ITPKB",0.46889548848684,8.84466707974138,5.11917200470575,1.5252572686026e-05,0.0269257933894886,3.00593672640986
"PADI2",0.544809584539474,10.0797281831897,5.09690059983537,1.62586163566341e-05,0.0269257933894886,2.94896267497516
"CDK5",-0.386377444078946,9.80576296767241,-5.0617966649244,1.79804790605875e-05,0.0269257933894886,2.85915690156762
"SLC44A2",0.485876940789478,10.9314615818966,5.03669846202627,1.93220046941576e-05,0.0269257933894886,2.79494808365713
"CTPS2",0.247101134539475,8.22809190948276,4.98056235017499,2.2694900493534e-05,0.0269257933894886,2.6513437213557
"ENC1",-0.429009671052626,11.7850890517241,-4.95847737261399,2.41773839283724e-05,0.0269257933894886,2.59485405371189
"MET",-0.78922315328947,8.69430865086207,-4.93905026287247,2.55610102616476e-05,0.0269257933894886,2.54516760162272
"DUSP3",-0.250868564473684,9.69769351293103,-4.93743011404951,2.56799024845744e-05,0.0269257933894886,2.54102417075012
"HPCA",-0.46298146842105,11.1989724612069,-4.91672679378802,2.72485690432342e-05,0.0269257933894886,2.48808028603931
"AHCYL1",0.48491219736842,11.4869676551724,4.91255988861783,2.75756440933699e-05,0.0269257933894886,2.47742526415489
"CALN1",-0.314564253947369,9.00263477155172,-4.88668666450801,2.96958499345143e-05,0.0269257933894886,2.41127318937136
"RB1CC1",-0.273384617763154,9.20365273491379,-4.87473329110281,3.0729444859612e-05,0.0269257933894886,2.38071571307945
"WNT10B",-0.386063392763157,8.33567567241379,-4.87317865192082,3.08664780223139e-05,0.0269257933894886,2.37674168309953
"LINC00643",-0.661791809868424,8.758609375,-4.87289944363625,3.08911530932828e-05,0.0269257933894886,2.37602796570577
"FNBP1",0.295323153947367,9.62660336637931,4.8674599094954,3.13758088945587e-05,0.0269257933894886,2.36212368691208
"CELF4",-0.319673513815788,10.4873788426724,-4.86484318887825,3.16116440015234e-05,0.0269257933894886,2.35543519718061
"SMPD3",-0.344478178947369,8.657827,-4.8361598404914,3.43153088017298e-05,0.0269257933894886,2.28213013381772
"TCEAL5",-0.365135061842106,8.23397896982759,-4.82228832402644,3.57041548416307e-05,0.0269257933894886,2.24668713667082
"ATF7IP",0.310802784539472,9.99271899568966,4.82184404778445,3.57495488809472e-05,0.0269257933894886,2.24555206193318
"APLP1",-0.243787710526314,11.5308907327586,-4.79383730057159,3.8730066222029e-05,0.0269257933894886,2.17401028669257
"ABLIM1",0.245294874999999,10.3337913771552,4.78818243724422,3.93611978130552e-05,0.0269257933894886,2.15956830204608
"PTPRR",-0.359825517763156,9.54268171551724,-4.75969611088616,4.26993748224317e-05,0.0269257933894886,2.08683395259979
"FAM171A2",-0.268399032894735,9.39807576724138,-4.752704201435,4.35608324558879e-05,0.0269257933894886,2.06898603013073
"CCDC190",0.462141323684213,6.52620379094828,4.74560173725045,4.44535914495551e-05,0.0269257933894886,2.05085784110522
"GDAP1L1",-0.28000528157895,8.4213768987069,-4.74415414544871,4.46377674455944e-05,0.0269257933894886,2.04716328084056
"STOML2",-0.189696074999999,9.50833587284483,-4.72609158536513,4.70005976965499e-05,0.0269257933894886,2.00107098210862
"APLNR",0.896860502631576,9.19117212715517,4.71690017238561,4.82502363644235e-05,0.0269257933894886,1.97762146645206
"SEC61G",-0.270394122697371,7.9601063512931,-4.71536182096064,4.84625859692773e-05,0.0269257933894886,1.97369711794493
"GRIN2B",-0.397786992434217,10.6910732327586,-4.71529901489476,4.84712752286024e-05,0.0269257933894886,1.97353690130286
"PLCE1",0.480983204605264,9.18695606034483,4.69884074443347,5.08024365793802e-05,0.0273508756661632,1.93155835517745
"PLSCR4",0.620483030921053,8.90116879741379,4.69086482262657,5.19718609518052e-05,0.0273508756661632,1.9112193938419
"SYT13",-0.398350821710524,9.54719283189655,-4.6576559268586,5.71350477367722e-05,0.0291554842192302,1.82656837976315
"C1QL3",-0.305280599999996,9.40447245258621,-4.63192652313247,6.14825086454862e-05,0.0291554842192302,1.76102211034025
